Hotel_Name,Location,Place,Population,Price,Discount,Rating,Air Conditioning,Minimum_Stay
Flagship Kashish Residency Near Model Town Metro Station,"Ashok Vihar-3, Delhi",Delhi,32941000,1048,67% off,180,NO,1
OYO Flagship 812491 Hotel Siddhartha Guest House,"Seelampur, Delhi",Delhi,32941000,811,68% off,75,NO,7
OYO Hotel New Tech India,"Near Jhandewalan, Nai Walan, Delhi",Delhi,32941000,845,67% off,23,NO,8
Flagship Sr Residency Near CCD,"Block B, Delhi",Delhi,32941000,549,69% off,49,NO,3
OYO Home Hotel New Singh Near Adarsh Nagar Metro Station,"Near Metro Pillar No 103, Delhi",Delhi,32941000,899,77% off,342,NO,3
OYO 81212 White House Residency Near Haiderpur Metro Station,"108,Street Number 3, Shalimar Bagh Village, New Delhi",Delhi,32941000,839,67% off,168,NO,7
OYO Flagship 810701 Mayura Residency,"Maharam Mohalla, Delhi",Delhi,32941000,966,67% off,2171,NO,3
OYO Townhouse 816 The Diamond Tree Near Dilshad Garden Metro Station,D-75 near dilshad garden metro station,Delhi,32941000,576,73% off,1289,NO,3
OYO Hotel Prince Near Haiderpur Metro Station,"Haiderpur Village, Delhi",Delhi,32941000,666,67% off,769,NO,4
Flagship Hotel Grow More Near Shiv Mandir,"East Babarpur, Delhi",Delhi,32941000,951,67% off,610,NO,4
Super OYO Townhouse 057 Gujranwala Town Near Azadpur Metro Station,"Tehsil, Delhi",Delhi,32941000,996,67% off,545,NO,8
OYO Hotel J Joy,"MAIN FAIZ ROAD  Above SBI BANK), KAROL BAGH",Delhi,32941000,1321,70% off,1807,YES,7
OYO Hotel Sun City Near Gurudwara Shri Bangla Sahib,"Near Karol Bagh, Channa Market, Delhi",Delhi,32941000,799,73% off,103,NO,6
OYO Sushma Ssadan,"Sawan Park Ashok Vihar Phase 3 Model Town Tehsil, Delhi",Delhi,32941000,1384,67% off,15,YES,2
OYO Flagship 2064 Hotel The Spot,"New Delhi, Delhi",Delhi,32941000,599,66% off,118,NO,5
OYO Hotel City Castle,"Near Karol Bagh, Nai Walan, Delhi",Delhi,32941000,916,67% off,17,NO,2
Flagship Hotel S Inn,"Paharganj New Delhi, Delhi",Delhi,32941000,575,72% off,11,NO,1
OYO Flagship 81012 S P Rooms,"Mahendra Park, Delhi",Delhi,32941000,1768,65% off,148,YES,8
OYO Kochar Plaza Near Satyam Inox Patel Nagar,"Near Liberty Cinema, New Rohtak Rd, Delhi",Delhi,32941000,1084,67% off,43,NO,6
OYO Flagship 810341 Hotel Royal Plaza,"wz 523/1 bali nagar extension, Delhi",Delhi,32941000,1794,65% off,7,YES,2
Collection O 811864 Hotel Aura Stay,"Paharganj, Delhi",Delhi,32941000,776,67% off,62,NO,1
Flagship Hotel Happiness Inn Near Tdi Mall,"Karampura, Delhi",Delhi,32941000,1236,67% off,4,YES,3
OYO Flagship 810642 Hotel KD Homes,"wazirabad near book shop opposite mohalla clinic Delhi, Delhi",Delhi,32941000,1115,67% off,36,YES,6
OYO Ms Residency,"Near to Aarash nagar metro station pillar no:-104, Delhi",Delhi,32941000,1490,67% off,65,YES,7
OYO Flagship 35359 Hotel Victoria Dx,"Near New Delhi Railway Station, Delhi",Delhi,32941000,851,67% off,17,NO,1
OYO 811030 Ocean Guest House,"Brij Puri, Delhi",Delhi,32941000,1156,67% off,28,YES,10
OYO Flagship 81042 Step Inn International,"Delhinull, Delhi",Delhi,32941000,1152,67% off,2,YES,2
Flagship Hotel Sun Shine,"Shakarpur Main Market, Delhi",Delhi,32941000,1005,67% off,913,NO,3
OYO Flagship 811700 Hotel Iconiic Residency Inn,"Old Rajendra Nagar delhinull, Delhi",Delhi,32941000,1156,67% off,325,YES,2
OYO Flagship 811671 Hotel Swagat Dx,"New Delhi, Delhi",Delhi,32941000,910,67% off,310,NO,2
OYO 78699 Hotel Klick International,", Delhi",Delhi,32941000,807,70% off,28,NO,10
Collection O Hotel Ambience Near Gurudwara Shri Bangla Sahib,"Near New Delhi Railway Station, Delhi",Delhi,32941000,583,67% off,197,NO,9
OYO Hotel Delhi Delight Near Sarai Rohilla Railway station,"Near Sarai Rohilla Railway Station, Delhi",Delhi,32941000,1996,64% off,102,YES,3
Flagship Hotel V K Stay,"Aarakashan Road  near Delhi Railway Station), Delhi",Delhi,32941000,1360,65% off,1036,YES,7
OYO Kl Khari Near Satyam Inox Patel Nagar,"Industrial Area, Delhi",Delhi,32941000,899,69% off,992,NO,4
OYO Shoolin Residency Near M2k Cinemas Rohini,"Near M2k Cinema, Delhi",Delhi,32941000,770,66% off,3198,NO,6
Flagship Dream Inn Near Akshardham,"Chander Vihar Near Aggarwal Sweets East Delhi, Delhi",Delhi,32941000,651,71% off,17,NO,1
OYO Townhouse 511 Prakash continental Near Netaji Subhash Place Metro Station,"Netaji Subash Palace, Delhi",Delhi,32941000,1670,65% off,651,YES,4
OYO Hotel Sun Palace,"Karol Bagh, Delhi",Delhi,32941000,1000,67% off,787,NO,4
OYO Townhouse 118 Gagan Vihar Near V3S Mall,"Near RG Stone hospital , Hargobind Enclave, Delhi",Delhi,32941000,1004,67% off,10,NO,9
OYO Flagship 80769 Seven Heaven ,"B-54 Lawrence Road Industrial Area Near Lawrence Road, Delhi",Delhi,32941000,1670,65% off,311,YES,7
Capital O Season Grand Near Pitampura metro station,Near Pitampura metro station,Delhi,32941000,799,79% off,560,NO,9
OYO 74596 Dream Town Near V3S Mall,"Shahdara, Delhi",Delhi,32941000,1444,67% off,389,YES,4
OYO Flagship 812357 Hotel Landmark Deluxe,"Karol Bagh, Delhi",Delhi,32941000,2101,65% off,18,YES,9
Flagship King Stay Near Tdi Mall,"Block N, Delhi",Delhi,32941000,1414,67% off,113,YES,9
Flagship Hotel BR International,"Paharganj, Delhi",Delhi,32941000,581,67% off,31,NO,7
OYO Hotel Bramhaputra,"Centrally Located, Near New Delhi Railway Station, Delhi",Delhi,32941000,599,74% off,171,NO,7
OYO Flagship 27928 Hotel Vintage ,"Near RK Ashram Metro station, Delhi",Delhi,32941000,549,82% off,235,NO,5
Flagship Ram Bnb,"Faiz Road Karol Bagh New Delhi, Delhi",Delhi,32941000,1029,67% off,606,NO,2
OYO Flagship 80289 Hotel Neha Inn Near Jama Masjid,"Paharganj  near Delhi Railway Station)null, Delhi",Delhi,32941000,1628,65% off,16,YES,8
Flagship Hotel Cozzy Homes Stay Near Gurudwara Shri Bangla Sahib,"Raje Der Nagar, Delhi",Delhi,32941000,770,66% off,98,NO,1
Flagship Rs Hotels Near M2k Cinemas Rohini,"Shiva Market, Delhi",Delhi,32941000,910,67% off,757,NO,2
OYO Townhouse 1130 262 Kailash Enclave Near M2K Cinemas Rohini,"Harsh Vihar, Delhi",Delhi,32941000,576,67% off,551,NO,5
OYO Flagship 66745 Le Orange,"8880-81, Gali Number 2, Multani Dhanda, Paharganj, New Delhi, Delhi - 110055",Delhi,32941000,1345,65% off,918,YES,6
OYO Le Alfanso Near Jama Masjid,"Near New Delhi Railway Station, Delhi",Delhi,32941000,599,74% off,2,NO,5
OYO Hotel Park View Near Adarsh Nagar Metro Station,"Near Adarsh nagar, Matmy Memar, Delhi",Delhi,32941000,957,67% off,1343,NO,2
Flagship Green High Near Laxmi Nagar Metro Station,"NEAR FRUIT POWER, Laxmi Nagar Metro Station, Delhi",Delhi,32941000,839,67% off,29,NO,9
OYO Townhouse 286 Near Kohat Enclave Metro Station ,"Near Pitampura Metro Station, Delhi",Delhi,32941000,744,68% off,82,NO,4
OYO Flagship 69760 Hotel Anchal Deluxe,"Near New Delhi Railway Station, Delhi",Delhi,32941000,731,70% off,722,NO,4
Collection O Ramji 7 Grand Near Tdi Mall,"Near Kirti Nagar Metro Station, Delhi",Delhi,32941000,852,69% off,1020,NO,8
Collection O Metro View Ashok Vihar Near Shalimar Bagh Metro Station,"Pocket C 1, Delhi",Delhi,32941000,1481,65% off,82,YES,10
OYO Flagship 81569 The Red Rose Inn,"India, Delhi",Delhi,32941000,677,75% off,856,NO,1
OYO Hotel Grand Peepal,"Near Karol Bagh metro, WEA, Delhi",Delhi,32941000,1005,67% off,6,NO,10
OYO Hotel J P Inn Near Satyam Inox Patel Nagar,"Near Patel Nagar Metro, Block 1, Delhi",Delhi,32941000,1360,65% off,80,YES,4
OYO Flagship R K Residency Near Jhilmil Metro Station,"488/5a Mcd Primary School Dilshad Garden, Delhi",Delhi,32941000,549,69% off,319,NO,9
Meet You There Shakarpur,"Shakarpur Laxmi Nagar Metro, Delhi",Delhi,32941000,1767,65% off,395,YES,9
Hotel City Plaza,"Near Laxmi Nagar, Delhi",Delhi,32941000,1360,65% off,757,YES,5
Flagship Hotel R.k Near Akshardham,"Near South Ganesh Nagar, Delhi",Delhi,32941000,996,67% off,31,NO,10
Collection O Hotel Green Palace Near V3S Mall,"H.no.-a3 Block A Jagat Puri Red Light Near Sbi Bank Jagat Puri East Delhi, Delhi",Delhi,32941000,595,68% off,15,NO,8
Super OYO 703579 Flagship Santosh Residency Near V3s Mall,"Vishwas Nagar, Delhi",Delhi,32941000,1414,67% off,166,YES,10
OYO Hotel Park View Near Adarsh Nagar Metro Station,"Near Adarsh nagar, Matmy Memar, Delhi",Delhi,32941000,1767,65% off,6,YES,5
OYO Flagship 80289 Hotel Neha Inn Near Jama Masjid,"Paharganj  near Delhi Railway Station)null, Delhi",Delhi,32941000,731,70% off,4,NO,1
OYO Flagship 81012 S P Rooms,"Mahendra Park, Delhi",Delhi,32941000,1360,65% off,4,YES,10
OYO Hotel Crown Continental Near Sarai Rohilla Railway Station,"11005, Delhi",Delhi,32941000,800,67% off,53,NO,5
Hotel City Plaza,"Near Laxmi Nagar, Delhi",Delhi,32941000,1257,65% off,65,YES,7
Collection O 811248 Hotel Crystal Stay,"old Arjun Nagar, Delhi",Delhi,32941000,1705,65% off,38,YES,6
OYO 811030 Ocean Guest House,"Brij Puri, Delhi",Delhi,32941000,996,67% off,262,NO,8
OYO 804648 Hotel SP Deluxe ,"Near Gurudwara Shri Bangla Sahib, New Delhi",Delhi,32941000,1226,67% off,864,YES,4
Flagship Hansa Residency Near Akshardham,"Laxmi Nagar, Delhi",Delhi,32941000,852,69% off,18,NO,4
Flagship Hotel Dp Palace Near Jama Masjid,"Delhi, Delhi",Delhi,32941000,1449,59% off,12,YES,2
Flagship 18618 Ocean Blue Residency Near V3S Mall," A-14 Pridarshni Vihar Laxminagar, Delhi",Delhi,32941000,1943,65% off,5,YES,4
OYO The Chill Palace Near Haiderpur Metro Station,"North West Delhi, Delhi",Delhi,32941000,1314,67% off,141,YES,9
OYO Flagship 27928 Hotel Vintage ,"Near RK Ashram Metro station, Delhi",Delhi,32941000,1481,65% off,16,YES,7
OYO Flagship 805147 Hotel Sona International Near Gurudwara Shri Bangla Sahib,"Paharganj  near Delhi Railway Station)null, Delhi",Delhi,32941000,1360,65% off,33,YES,5
OYO Flagship 811430 Hotel Mayur Inn,"B-3 Near DA BLOCK SHALIMAR VILLAGE, Delhi",Delhi,32941000,1334,65% off,3,YES,8
OYO Hotel Emporio Near Jama Masjid,"Near Shela Cinema, DB Gupta Road, Delhi",Delhi,32941000,989,64% off,82,NO,1
OYO Flagship 66745 Le Orange,"8880-81, Gali Number 2, Multani Dhanda, Paharganj, New Delhi, Delhi - 110055",Delhi,32941000,696,79% off,141,NO,8
Flagship Deva Guest House Near Johari Enclave Metro Station,"Ganga Enclave Delhi, Delhi",Delhi,32941000,1360,65% off,65,YES,9
OYO Flagship 811181 Golden Key Inn,"plot no 341 Shalimar village opposite railway live, Delhi",Delhi,32941000,2048,67% off,12,YES,7
OYO Flagship R K Residency Near Jhilmil Metro Station,"488/5a Mcd Primary School Dilshad Garden, Delhi",Delhi,32941000,632,75% off,22,NO,6
OYO Hotel Emporio Near Jama Masjid,"Near Shela Cinema, DB Gupta Road, Delhi",Delhi,32941000,909,67% off,125,NO,9
Flagship Hansa Residency Near Akshardham,"Laxmi Nagar, Delhi",Delhi,32941000,2306,67% off,33,YES,7
OYO Flagship 805147 Hotel Sona International Near Gurudwara Shri Bangla Sahib,"Paharganj  near Delhi Railway Station)null, Delhi",Delhi,32941000,2190,70% off,72,YES,9
OYO Flagship 83552 Anchal Guest House,"India, Delhi",Delhi,32941000,2048,67% off,38,YES,1
Collection O 811806 Orange Saffron,"Shakurpurnull, Delhi",Delhi,32941000,799,75% off,132,NO,9
OYO Hotel Town ,Near Karol bagh metro station,Delhi,32941000,1470,69% off,191,YES,7
Flagship Deva Guest House Near Johari Enclave Metro Station,"Ganga Enclave Delhi, Delhi",Delhi,32941000,576,80% off,263,NO,7
Flagship Hotel Hans Dx Near Jama Masjid,"Paharganj  near Delhi Railway Station), Delhi",Delhi,32941000,1195,67% off,262,YES,3
Flagship Hotel Dp Palace Near Jama Masjid,"Delhi, Delhi",Delhi,32941000,1130,67% off,6,YES,1
SPOT ON Shyam Palace Near Gurudwara Shri Bangla Sahib,"Near R K Ashram Metro Station, Pahar Ganj, Delhi",Delhi,32941000,1817,65% off,9,YES,6
Capital O Hotel Sunberry,"New Delhi, Delhi",Delhi,32941000,859,71% off,62,NO,8
OYO 80168 Green Villa,"Near KOSMOS Hospital, Anand Vihar, Delhi C-61 Above SBI Bank",Delhi,32941000,1049,65% off,123,NO,7
Flagship 18618 Ocean Blue Residency Near V3S Mall," A-14 Pridarshni Vihar Laxminagar, Delhi",Delhi,32941000,626,73% off,1,NO,1
OYO Flagship 80919 Hotel Vinayaka Inn Near Gurudwara Shri Bangla Sahib,", Delhi",Delhi,32941000,1692,66% off,3577,YES,4
Flagship Hotel City Heart,"Paharganj , Delhi",Delhi,32941000,949,64% off,138,NO,2
OYO TOWNHOUSE  R K Residency Near Mother dairy gate no. 2,"Flat No 3 Near Fair Deal South Ganesh Nagar, Delhi",Delhi,32941000,1820,65% off,115,YES,9
Collection O Dayz Inn Deluxe Near Satyam Inox Patel Nagar,"B Block Lawrence Road Industrial Area Near Keshavpuram Fire Station Delhi 110035, Delhi",Delhi,32941000,449,86% off,270,NO,1
OYO Flagship 80818 Hotel Metro Inn Near Gurudwara Shri Bangla Sahib,"Aram Bagh Paharganj Delhi, Delhi",Delhi,32941000,1045,67% off,2846,NO,7
SPOT ON Hotel Silver Palace Dx,"Near RK ASHRAM METRO STATION, Pahar Ganj, Delhi",Delhi,32941000,1008,67% off,72,NO,2
SPOT ON 812212 Country Residency,"Laxmi Nagar, Delhi",Delhi,32941000,918,67% off,22,NO,4
Flagship Kashish Residency,"single storey, Delhi",Delhi,32941000,953,67% off,352,NO,6
OYO Townhouse 738 Family In,"Raj Block Naveen Shahdara Delhi, Delhi",Delhi,32941000,1130,64% off,1215,YES,2
Super OYO Collection O Shalimar Bagh Near Haiderpur Metro Station,"Shalimar Village, Delhi",Delhi,32941000,1668,67% off,3,YES,7
Flagship Hotel Signature Village,"Near KD Campus, Gali No. 6A, Gopalpur Village",Delhi,32941000,1793,64% off,2,YES,8
Flagship Good Will Near Haiderpur Metro Station,"Gobind Mohalla, Delhi",Delhi,32941000,1142,67% off,2,YES,1
OYO Flagship 84596 Hotel North Campus,"Civil Lines Tehsilnull, Delhi",Delhi,32941000,1788,65% off,1,YES,5
OYO Flagship 811530 Bed Box,"gali no 1 kamla nagar, Delhi",Delhi,32941000,1232,67% off,34,YES,3
Collection O Model Town Metro View Near Model Town Metro Station,"Near Model Town Metro Station, Delhi",Delhi,32941000,1262,64% off,7286,YES,6
OYO Flagship 79243 Hotel Greenwoods,"Paharganj, Delhi",Delhi,32941000,1036,67% off,324,NO,2
OYO Flagship 811844 Yes Sir Guest House,"PAHARGANJ, Delhi",Delhi,32941000,777,75% off,1945,NO,1
SPOT ON Jain House Near V3s Mall,"Near East Azad Nagar, Azadnagar, Delhi",Delhi,32941000,1747,65% off,1925,YES,7
OYO Flagship 811980 Hotel Rainbow,"Block A kewal park extension opposite metro pillar number 78 Azadpur Delhi 110033, Delhi",Delhi,32941000,688,72% off,1688,NO,4
Collection O 23641 Hotel Cozy Vibes Stay,"Near Inderlok Metro Station, Anandnagar, Delhi",Delhi,32941000,627,73% off,5595,NO,8
OYO Flagship 81175 Hotel Moon Stay,"New Delhi, Delhi",Delhi,32941000,909,67% off,1558,NO,3
Flagship Crown Town Guest House,"near by Mandoli Jail Back Side, Delhi",Delhi,32941000,1614,65% off,990,YES,9
OYO 811874 Hotel Maharaja,"Address- Shop No : 30-32-34 Old Market Main Bus Stand Timarpur Delhi 110054.  Opposite DTC Bus Stand, Delhi",Delhi,32941000,679,68% off,94,NO,7
OYO Flagship 812028 Brownie,"BS Colony Vishwas Nagar Delhi 110032, Delhi",Delhi,32941000,984,67% off,5054,NO,6
SPOT ON 812286 Shivam Guest House ,"3 Katra baryan laal Kuan farash khana Chandni chowk, Delhi",Delhi,32941000,1587,65% off,1555,YES,10
Flagship Mannat Residency Near Shiv Vihar Metro Station,"Near David School, Delhi",Delhi,32941000,1912,64% off,3064,YES,5
OYO Flagship 811723 Hotel Sai Ram,"Azadpur, Delhi",Delhi,32941000,1005,67% off,690,NO,4
Super OYO Townhouse 143 Hotel Royal Garden Near park Street Mullick bazar crossing,"Near Jameson Inn, Park St, Kolkata",Kolkata,19356000,1106,67% off,3237,YES,1
Flagship The Nest Inn Near Acropolis Mall,"Near Raj Market, Kolkata",Kolkata,19356000,2032,65% off,194,YES,5
Flagship Royal Plaza Near Acropolis Mall,"Near GST Bhawan, Ruby, Acropolis Mall",Kolkata,19356000,890,65% off,5158,NO,5
Collection O Hotel Hamza International Near Howrah Bridge,"Near College Street, MG Road, Kolkata",Kolkata,19356000,1086,67% off,1162,NO,6
Super OYO Townhouse 1050 Centre Point Inn Near Esplanade Metro Station,"Beside K C Das Sweet Esplanade Post Office, Kolkata",Kolkata,19356000,791,67% off,1684,NO,4
OYO Townhouse 229 Hotel Mannat International Near Science City Topsia,"Near Bypass Connector, Kolkata",Kolkata,19356000,1345,65% off,152,YES,4
Super OYO Collection O Ketan Regency Near Acropolis Mall,953 Purbachal Road adapt House Prince Park Kalikapur  in lane between Tata chroma showroom & Yamaha Moters Showroom,Kolkata,19356000,576,71% off,661,NO,6
Townhouse Oak Hotel Lake View Royal Near Science City,"East Topsia Road, Kolkata",Kolkata,19356000,1071,67% off,1732,NO,7
Flagship R A Homestay Near Acropolis Mall,"Nitai Nagar, Kolkata",Kolkata,19356000,990,67% off,2324,NO,7
Collection O 74257 Gokul Residency,"Near Emami City, Nagerbazar, Dum Dum, Kolkata",Kolkata,19356000,925,67% off,326,NO,9
Super OYO Collection O Hotel Green Leaf Near Acropolis Mall,"Kasba, Kolkata",Kolkata,19356000,696,76% off,1652,NO,6
Super OYO Townhouse 726 Hotel All In One Near City Centre Salt Lake,DL-34 Karunamoyee Near Anandalok Hospital Bidhannagar Saltlake,Kolkata,19356000,1380,67% off,1178,YES,1
OYO G R Hospitality,"VIP Road Baguihati Kolkata Airport Near Ladies Hostel, Narayantala",Kolkata,19356000,820,69% off,1063,NO,3
SPOT ON Silver Green Near Netaji Subhash Chandra Bose International Airport,"Mondal Ganthi Road, Kaikhali, VIP Road Kolkata 700052, West Bengal",Kolkata,19356000,1006,67% off,823,NO,7
OYO A Retro Near Rdb Cinemas,"Near Tank N0.3, New Town, Rajarhat, Kolkata",Kolkata,19356000,1753,65% off,695,YES,9
Super OYO Townhouse 75779 The Royal Retreat,"Kolkata International Airport, Belghoria Express Way Noapara & Baranagar Metro Station",Kolkata,19356000,1050,69% off,725,NO,4
OYO Kuber Residency Near Birla Mandir,"Near Tagore Park, Kasba, Kolkata",Kolkata,19356000,1241,65% off,756,YES,7
Collection O Aafreen Tower Near St. Thomas's Church,"Esplanade, Kolkata",Kolkata,19356000,1136,68% off,914,YES,5
Flagship Hotel Shanavi Chinar Park,"29/2 Sayan Abasan, Nishi Kanan, Beside AR Motors, Chinar Park, Kolkata",Kolkata,19356000,1458,64% off,17,YES,4
Flagship Sonar Bangla Guest House Near Acropolis Mall,"Near G S T Bhawan, Kolkata",Kolkata,19356000,576,80% off,1094,NO,7
Flagship Royal Palace,"Near Acropolis Mall, Purba Abasan, Kolkata",Kolkata,19356000,1071,67% off,189,NO,9
OYO Diamond Plaza Near Acropolis Mall,"Kasbah Northnull, Kolkata",Kolkata,19356000,955,67% off,81,NO,7
Flagship Hotel New Aamaze Inn Near Acropolis Mall,"Near Vivanta Hotel, Kolkata",Kolkata,19356000,777,75% off,822,NO,9
Flagship Delightful Stay Em Byepass Near Birla Mandir,"Uttar Panchanna Gram, Kolkata",Kolkata,19356000,1023,64% off,1807,NO,7
Super OYO Hr Inn Near City Centre Salt Lake,"Bidhannagar, Kolkata",Kolkata,19356000,1256,67% off,31,YES,3
Super OYO SilverKey Deshapriya Park Near Kalighat Kali Temple,"Near EDEN GROUP BUILDING, Manoharpukur, Kolkata",Kolkata,19356000,576,80% off,828,NO,3
OYO Fantasy Stay Near City Centre Salt Lake,"Near Sector 1, Bidhan Nagar, Kolkata",Kolkata,19356000,820,69% off,733,NO,5
Collection O De Sivalika Boutique Near Dakshineswar Kali Temple,"Grand Trunk Road, Belur Math,Kolkata",Kolkata,19356000,1050,69% off,556,NO,2
Flagship Majestic Inn Near Bidhanagar Station,"South Dumdum, Kolkata",Kolkata,19356000,816,67% off,54,NO,7
Collection O Premium Hotel ,"1/B/24, AL BLOCK, STREET NO.22,NEW TOWN, RAJARHAT, KOLKATA",Kolkata,19356000,1345,65% off,667,YES,10
Flagship Diamond Regency Near Birla Mandir,"Near Acropolis Mall, Kolkata",Kolkata,19356000,688,72% off,1318,NO,5
Flagship Hotel Dreamline Near Acropolis Mall,"Near Sbi E-cornernullnull, Kolkata",Kolkata,19356000,611,72% off,1188,NO,1
Collection O Motisarai Near Birla Mandir,"Off Park Street, Kolkata",Kolkata,19356000,1164,67% off,65,YES,3
OYO Pinnacle Auberge,Chinar Park Kolkata International Airport Beside Spencers Rajarhat Main Road,Kolkata,19356000,1084,67% off,649,NO,8
Capital O Fortune Inn Near Birla Mandir,"Kasba, Kolkata",Kolkata,19356000,2185,65% off,674,YES,4
Capital O Kabita Guest House Near Acropolis Mall,Mukundapur Main Road Seven Maddox Square Multi cuisine Restaurant Kolkata EM Bye Pass Opposite Dr. Devi Shetty Hospital,Kolkata,19356000,2082,65% off,68,YES,4
OYO Townhouse 567 MB International,"Beniapukur, Kolkata",Kolkata,19356000,746,67% off,349,NO,2
Flagship Hotel Divira Inn,"New Town, Kolkata",Kolkata,19356000,949,71% off,637,NO,7
Super OYO Sagorika Inn,Chinarpark Amenia; Arsalan,Kolkata,19356000,549,86% off,497,NO,7
Capital O Hotel Gardenia Near Birla Mandir,"Near Laxminarayan Temple, Sarat Bose Road, Kolkata",Kolkata,19356000,1654,67% off,37,YES,3
Flagship Hotel Rockstar Near Birla Mandir,Kolkata Opposite Bangladesh High Commission) Near A.J.C Bose Flyover,Kolkata,19356000,1229,65% off,1165,YES,8
OYO Flagship Vicky Guest House Near City Centre Salt Lake,"Tcs Gitobitan, Kolkata",Kolkata,19356000,1458,64% off,117,YES,8
OYO Rooms 91148 Hotel Stay Inn,"Action Area I, Kolkata",Kolkata,19356000,1256,67% off,637,YES,2
Super OYO Townhouse 095 Akash Ganga Park Circus Near Birla Mandir,"Beniapukur, Kolkata",Kolkata,19356000,1030,67% off,1115,NO,5
Super OYO Trisha Guest House,"Behind New Life Nurshing Home, Oppssite Arati cinema, Sahabagan, Kolkata",Kolkata,19356000,1413,65% off,35,YES,6
Flagship Santoshi Banquet And Marriage Hall Near St. Thomas's Church,"Kulia, Kolkata",Kolkata,19356000,1339,67% off,489,YES,4
OYO Starlight Guest House Near Birla Mandir,"Shantipally Near Acropolis Mall, Kolkata",Kolkata,19356000,1636,65% off,51,YES,9
Super OYO Capital O 700752 Hotel Dak Plaza,"Near Axis Mall, CE Block, Newtown, Kolkata 700156",Kolkata,19356000,993,67% off,1299,NO,10
OYO Flagship 86727 New Diamond Palace,"Kolkata 700107, Kolkata",Kolkata,19356000,1334,72% off,94,YES,2
Collection O Hotel Paradise Near Chinar Park,"Kolkata West Bengal Kolkata, Kolkata",Kolkata,19356000,816,67% off,349,NO,5
OYO Hotel City Of Joy,"Salt Lake, Kolkata",Kolkata,19356000,2082,65% off,17,YES,8
OYO Red Velvet Classic Near Netaji Subhash Chandra Bose International Airport,Kaikhali Above IndusInd Bank ATM Kolkata International Airport 02 Hotel VIP Road,Kolkata,19356000,1084,67% off,394,NO,2
OYO Flagship Monurama Homestay Near Acropolis Mall,"Purba Diganta, Kolkata",Kolkata,19356000,2185,65% off,32,YES,3
OYO Green Leaf Hospitality Near City Centre Salt Lake,FD 390 SECTOR 3 SALT LAKE CENTRAL PARK MANI SQUARE CITY CENTRE 1,Kolkata,19356000,929,70% off,28,NO,6
Flagship Relax View Dumdum Park Near City Centre Salt Lake,"Dum Dum Park, Kolkata",Kolkata,19356000,1213,67% off,117,YES,8
"Super OYO 22566 Red Velvet Inn Near Chinar park,Airport","Near Chinar Park, Backside of NPG Hotel, Opposite Charnock Hospital",Kolkata,19356000,1156,67% off,35,YES,4
Capital O Krish Residency,"Near Action Area I, New Town Bus Stand DLF1, Kolkata, West Bengal",Kolkata,19356000,1023,64% off,674,NO,10
Collection O Avenue Inn Near VIP Road,"288/2 Bangur Avenue Block B, Near Bangur Swimming Pool Jessore Road Diamond Plaza Mall Nagerbazar ",Kolkata,19356000,1126,65% off,189,YES,1
Super OYO Flagship 89087 Brill Rooms Saltlake City Centre,"Saltlake, Kolkata",Kolkata,19356000,1426,65% off,235,YES,9
Super OYO Collection O The Coco Inn Near South City Mall,"Near 13C Bus Stand, Regent Estate, Kolkata",Kolkata,19356000,929,67% off,20,NO,3
Flagship Kalighat,"Near Raja Santosh Road, Alipore, Kolkata",Kolkata,19356000,1257,65% off,141,YES,7
Flagship R A Homestay Near Acropolis Mall,"Nitai Nagar, Kolkata",Kolkata,19356000,1323,68% off,34,YES,6
Collection O Hotel Paradise Near Chinar Park,"Kolkata West Bengal Kolkata, Kolkata",Kolkata,19356000,949,61% off,141,NO,5
OYO Flagship 812089 Laxmi Guest House Jadavpur,"46 Raja S.C.Mallick Road  Raja S.C Mallick Road, Kolkata",Kolkata,19356000,878,67% off,142,NO,10
Flagship Hotel Dreamline Near Acropolis Mall,"Near Sbi E-cornernullnull, Kolkata",Kolkata,19356000,3114,65% off,60,YES,6
OYO Padmavati Projects Pvt Ltd Near Netaji Subhash Chandra Bose International Airport,"Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment , Kolkata 700157",Kolkata,19356000,1474,68% off,474,YES,5
Collection O 811014 Hotel Wow,"SALT LAKE, Kolkata",Kolkata,19356000,1023,64% off,345,NO,10
Flagship Priyangshu Inn,"Madhurdaha, Kolkata",Kolkata,19356000,1188,65% off,1299,YES,6
Flagship Relax View Dumdum Park Near City Centre Salt Lake,"Dum Dum Park, Kolkata",Kolkata,19356000,1034,67% off,32,NO,10
Collection O Avenue Inn Near VIP Road,"288/2 Bangur Avenue Block B, Near Bangur Swimming Pool Jessore Road Diamond Plaza Mall Nagerbazar ",Kolkata,19356000,1339,65% off,19,YES,3
OYO Flagship 812161 Hotel Asha Inn,"BIDHANNAGAR, Kolkata",Kolkata,19356000,1041,65% off,397,NO,2
Super OYO Capital O 700752 Hotel Dak Plaza,"Near Axis Mall, CE Block, Newtown, Kolkata 700156",Kolkata,19356000,1463,64% off,165,YES,10
OYO Pinnacle Auberge,Chinar Park Kolkata International Airport Beside Spencers Rajarhat Main Road,Kolkata,19356000,1314,72% off,619,YES,10
OYO Maa Tara Guest House Near Acropolis Mall,"Near R.N.Tagore Hospital, Nitainagar, Kolkata",Kolkata,19356000,1680,65% off,125,YES,3
